,CODE_COMMUNE,LIBL_COMMUNE,NOM_EPCI,NOM_CANTON,TOTAL,TOTAL_FEM,TOTAL_HOM,TOTAL_M75A,TOTAL_7584A,TOTAL_P85A,TOTAL_DOM,TOTAL_ETA,ANNEE_REF,CODE_CANTON
342,63320,SAINT-AVIT,Chavanon Combrailles et Volcans,SAINT-OURS,6,0,0,0,0,6,0,0,2020,6328
343,63332,SAINT-CLEMENT-DE-REGNAT,Plaine Limagne,MARINGUES,15,12,0,0,0,10,9,6,2020,6320
344,63348,SAINT-GENES-LA-TOURETTE,Agglo Pays d'Issoire,BRASSAC-LES-MINES,6,0,0,0,0,0,0,0,2020,6306
345,63376,SAINT-MARTIN-D'OLLIERES,Agglo Pays d'Issoire,BRASSAC-LES-MINES,8,0,0,0,0,6,7,0,2020,6306
346,63388,SAINT-PRIEST-DES-CHAMPS,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,29,20,9,0,10,17,18,11,2020,6326
347,63413,LA SAUVETAT,Mond'Arverne Communauté,LES MARTRES-DE-VEYRE,17,16,0,0,0,13,10,7,2020,6321
348,63429,TERNANT-LES-EAUX,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2020,6306
349,63443,VARENNES-SUR-MORGE,Riom Limagne et Volcans,AIGUEPERSE,8,0,0,0,0,0,0,0,2020,6301
350,63452,VERRIERES,Agglo Pays d'Issoire,LE SANCY,0,0,0,0,0,0,0,0,2020,6329
351,63462,VIRLET,Pays de Saint-Eloy,SAINT-ELOY-LES-MINES,9,7,0,0,0,0,0,0,2020,6326
352,63280,PIGNOLS,Mond'Arverne Communauté,VIC-LE-COMTE,0,0,0,0,0,0,0,0,2020,6331
353,63077,CHAMBON-SUR-LAC,Massif du Sancy,LE SANCY,12,10,0,0,0,6,8,0,2020,6329
354,63017,AUGNAT,Agglo Pays d'Issoire,BRASSAC-LES-MINES,0,0,0,0,0,0,0,0,2020,6306
